alert_id,timestamp,source_ip,destination_ip,label,severity,mitre_tactic,mitre_technique,mitre_conf,shap_feat_1,shap_val_1,shap_feat_2,shap_val_2,shap_feat_3,shap_val_3,shap_feat_4,shap_val_4,shap_feat_5,shap_val_5
50,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS GoldenEye,Critical,TA0040 Impact,T1498/T1499,93.5,Flow Duration,1.7763,Flow IAT Mean,1.2221,Destination Port,-0.8263,Flow Bytes/s,-0.7694,Fwd IAT Total,-0.5152
51,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Bot,Critical,TA0011 Command & Control,T1071.001,91.5,Flow Duration,4.4449,Fwd IAT Total,2.5263,Fwd Packet Length Mean,-0.9782,Bwd Packet Length Min,-0.728,Fwd Packet Length Max,-0.6634
52,2026-07-27 10:00:00,172.16.0.53,192.168.1.50,FTP-Patator,High,TA0006 Credential Access,T1110.001,95.0,Total Backward Packets,0.8968,Destination Port,-0.527,Fwd Packet Length Std,0.4738,Flow IAT Min,0.4,Fwd IAT Mean,-0.3948
53,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Infiltration,High,TA0010 Exfiltration,T1041,90.0,Total Length of Bwd Packets,7.7913,Bwd Packet Length Max,2.7726,Fwd IAT Mean,-1.0839,Destination Port,-0.8752,Flow Bytes/s,-0.8395
54,2026-07-27 10:00:00,172.16.0.60,192.168.1.50,SSH-Patator,High,TA0006 Credential Access,T1110.001,95.5,Total Backward Packets,1.2383,Destination Port,-0.599,Flow Bytes/s,-0.4484,Bwd Packet Length Max,-0.4134,Flow IAT Mean,0.335
55,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowhttptest,Critical,TA0040 Impact,T1499,90.8,Flow Duration,1.9485,Bwd Packet Length Max,-0.6689,Fwd Packet Length Std,-0.5589,Flow IAT Min,-0.4272,Flow IAT Std,-0.4152
56,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowhttptest,Critical,TA0040 Impact,T1499,90.8,Flow Duration,2.9081,Fwd IAT Mean,-0.7847,Destination Port,0.6704,Flow IAT Max,0.6322,Total Length of Fwd Packets,-0.63
57,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,52.0,Total Length of Fwd Packets,0.1131,Fwd Packet Length Mean,0.1004,Flow IAT Std,0.0869,Flow IAT Max,-0.0851,Flow Bytes/s,-0.0845
58,2026-07-27 10:00:00,172.16.0.14,192.168.1.50,Web Attack - SQL Injection,High,TA0001 Initial Access,T1190,94.5,Total Length of Fwd Packets,5.3918,Fwd Packet Length Max,1.3474,Total Fwd Packets,-1.0852,Bwd Packet Length Max,-0.8792,Fwd Packet Length Min,-0.7885
59,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Infiltration,High,TA0010 Exfiltration,T1041,90.0,Total Length of Bwd Packets,4.2611,Bwd Packet Length Max,3.8853,Total Backward Packets,-1.229,Fwd Packet Length Mean,-0.8026,Fwd Packet Length Min,-0.7116
60,2026-07-27 10:00:00,172.16.0.23,192.168.1.50,Web Attack - XSS,High,TA0001 Initial Access,T1190,93.0,Total Length of Fwd Packets,5.2587,Fwd Packet Length Max,3.0586,Total Fwd Packets,-1.0541,Flow IAT Max,-0.9014,Destination Port,0.5971
61,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,54.0,Fwd Packet Length Std,-0.1512,Destination Port,0.111,Total Fwd Packets,-0.0993,Flow Packets/s,0.0881,Fwd Packet Length Mean,0.0807
62,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowloris,Critical,TA0040 Impact,T1499,91.2,Flow Duration,2.7834,Bwd Packet Length Max,-0.8869,Flow IAT Min,-0.8431,Fwd Packet Length Std,-0.6529,Bwd Packet Length Mean,0.5547
63,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,72.0,Fwd IAT Mean,-0.1033,Flow Bytes/s,0.101,Flow Duration,-0.0948,Bwd Packet Length Max,-0.0907,Fwd Packet Length Max,0.0636
64,2026-07-27 10:00:00,172.16.0.90,192.168.1.50,Web Attack - XSS,High,TA0001 Initial Access,T1190,93.0,Total Length of Fwd Packets,4.4862,Fwd Packet Length Max,1.2578,Bwd Packet Length Max,-1.0609,Destination Port,0.8203,Flow IAT Min,-0.6126
65,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,1.8983,Fwd Packet Length Min,-0.6591,Flow IAT Mean,0.6567,Bwd Packet Length Std,-0.4563,Flow Packets/s,-0.3844
66,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowloris,Critical,TA0040 Impact,T1499,91.2,Flow Duration,1.8,Flow IAT Mean,0.8257,Total Length of Bwd Packets,-0.6916,Bwd Packet Length Std,-0.4386,Fwd IAT Total,-0.4333
67,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,52.0,Flow IAT Std,-0.1052,Flow Bytes/s,-0.1051,Fwd IAT Mean,-0.0944,Flow Packets/s,-0.0805,Flow IAT Max,-0.0795
68,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowloris,Critical,TA0040 Impact,T1499,91.2,Flow Duration,1.791,Flow IAT Max,-0.6536,Fwd Packet Length Mean,-0.6518,Bwd Packet Length Mean,-0.5958,Flow Bytes/s,-0.591
69,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS GoldenEye,Critical,TA0040 Impact,T1498/T1499,93.5,Flow Duration,2.5777,Fwd Packet Length Min,-1.0773,Flow IAT Mean,0.7354,Destination Port,-0.7171,Fwd Packet Length Max,-0.6211
70,2026-07-27 10:00:00,172.16.0.41,192.168.1.50,FTP-Patator,High,TA0006 Credential Access,T1110.001,95.0,Total Backward Packets,1.1323,Destination Port,-0.5472,Fwd Packet Length Max,0.3366,Fwd IAT Mean,-0.3296,Fwd Packet Length Mean,-0.3009
71,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Infiltration,High,TA0010 Exfiltration,T1041,90.0,Total Length of Bwd Packets,4.4967,Bwd Packet Length Max,1.7335,Flow IAT Std,-0.7877,Flow Bytes/s,-0.6817,Fwd Packet Length Max,-0.6505
72,2026-07-27 10:00:00,172.16.0.18,192.168.1.50,FTP-Patator,High,TA0006 Credential Access,T1110.001,95.0,Total Backward Packets,1.2012,Destination Port,-0.5418,Flow IAT Mean,-0.4185,Flow IAT Min,-0.3885,Flow Bytes/s,0.3514
73,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Bot,Critical,TA0011 Command & Control,T1071.001,91.5,Flow Duration,5.907,Fwd IAT Total,5.4438,Flow Bytes/s,2.8059,Destination Port,-1.3009,Fwd Packet Length Std,-1.2326
74,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,56.00000000000001,Fwd IAT Total,0.1406,Bwd Packet Length Max,-0.1162,Total Backward Packets,0.0978,Total Fwd Packets,-0.0768,Flow IAT Min,0.075
75,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,56.00000000000001,Fwd IAT Mean,0.1282,Bwd Packet Length Min,0.1163,Fwd Packet Length Std,-0.0904,Total Length of Bwd Packets,-0.0897,Flow Packets/s,-0.0843
76,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowloris,Critical,TA0040 Impact,T1499,91.2,Flow Duration,2.6519,Flow Packets/s,-0.7932,Total Backward Packets,-0.6771,Flow IAT Mean,0.6252,Total Fwd Packets,-0.5438
77,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Infiltration,High,TA0010 Exfiltration,T1041,90.0,Total Length of Bwd Packets,6.8496,Bwd Packet Length Max,3.8747,Flow Packets/s,-1.1754,Total Length of Fwd Packets,-1.1555,Total Backward Packets,-1.0134
78,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Web Attack - XSS,High,TA0001 Initial Access,T1190,93.0,Total Length of Fwd Packets,3.9393,Fwd Packet Length Max,2.6837,Flow Bytes/s,-0.8285,Total Length of Bwd Packets,-0.7692,Bwd Packet Length Mean,-0.6687
79,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowhttptest,Critical,TA0040 Impact,T1499,90.8,Flow Duration,3.1224,Bwd Packet Length Max,-1.1256,Flow Packets/s,1.0277,Flow IAT Min,-0.6143,Bwd Packet Length Mean,-0.481
80,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Infiltration,High,TA0010 Exfiltration,T1041,90.0,Total Length of Bwd Packets,6.6879,Bwd Packet Length Max,4.7088,Flow IAT Max,-0.9768,Flow Bytes/s,-0.8952,Fwd IAT Mean,-0.8935
81,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowloris,Critical,TA0040 Impact,T1499,91.2,Flow Duration,2.009,Flow Packets/s,-0.8863,Flow IAT Mean,0.6408,Total Fwd Packets,-0.5348,Fwd Packet Length Std,0.4121
82,2026-07-27 10:00:00,172.16.0.95,192.168.1.50,Web Attack - XSS,High,TA0001 Initial Access,T1190,93.0,Total Length of Fwd Packets,5.3856,Fwd Packet Length Max,2.6505,Total Backward Packets,-0.9056,Fwd IAT Mean,-0.811,Destination Port,0.6895
83,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Infiltration,High,TA0010 Exfiltration,T1041,90.0,Total Length of Bwd Packets,8.7694,Bwd Packet Length Max,4.0801,Destination Port,-1.1746,Fwd Packet Length Std,-1.0789,Fwd Packet Length Min,-0.9725
84,2026-07-27 10:00:00,172.16.0.74,192.168.1.50,SSH-Patator,High,TA0006 Credential Access,T1110.001,95.5,Total Backward Packets,1.1104,Flow Bytes/s,-0.6304,Total Length of Fwd Packets,-0.5466,Bwd Packet Length Max,0.5004,Destination Port,-0.4425
85,2026-07-27 10:00:00,172.16.0.93,192.168.1.50,FTP-Patator,High,TA0006 Credential Access,T1110.001,95.0,Total Backward Packets,0.6134,Destination Port,-0.4398,Flow Duration,-0.4038,Total Length of Bwd Packets,0.4034,Bwd Packet Length Max,0.3607
86,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,56.00000000000001,Fwd Packet Length Std,-0.1184,Fwd IAT Total,0.1054,Flow IAT Std,0.0897,Bwd Packet Length Mean,-0.086,Total Fwd Packets,-0.0586
87,2026-07-27 10:00:00,172.16.0.68,192.168.1.50,Web Attack - XSS,High,TA0001 Initial Access,T1190,93.0,Total Length of Fwd Packets,4.9744,Fwd Packet Length Max,3.1143,Fwd IAT Mean,-1.1258,Bwd Packet Length Max,-1.0417,Fwd Packet Length Std,-0.8255
88,2026-07-27 10:00:00,172.16.0.88,192.168.1.50,PortScan,Medium,TA0043 Reconnaissance,T1046,92.5,Flow Packets/s,2.4488,Flow Duration,-0.5835,Fwd Packet Length Mean,0.4007,Bwd Packet Length Min,-0.3576,Fwd IAT Mean,0.3374
89,2026-07-27 10:00:00,172.16.0.91,192.168.1.50,PortScan,Medium,TA0043 Reconnaissance,T1046,92.5,Flow Packets/s,1.6118,Flow Duration,-0.6146,Total Fwd Packets,0.265,Bwd Packet Length Max,-0.2515,Total Backward Packets,-0.2123
90,2026-07-27 10:00:00,172.16.0.22,192.168.1.50,SSH-Patator,High,TA0006 Credential Access,T1110.001,95.5,Total Backward Packets,0.9246,Destination Port,-0.5556,Flow IAT Std,-0.5172,Total Fwd Packets,0.3277,Total Length of Fwd Packets,-0.304
91,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,56.00000000000001,Total Length of Bwd Packets,0.0944,Flow Packets/s,-0.0867,Total Backward Packets,-0.0823,Flow Bytes/s,-0.0744,Total Fwd Packets,0.0715
92,2026-07-27 10:00:00,172.16.0.48,192.168.1.50,SSH-Patator,High,TA0006 Credential Access,T1110.001,95.5,Total Backward Packets,1.3159,Destination Port,-0.6023,Fwd IAT Mean,0.393,Bwd Packet Length Min,-0.3526,Bwd Packet Length Max,-0.2612
93,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS GoldenEye,Critical,TA0040 Impact,T1498/T1499,93.5,Flow Duration,3.1826,Fwd Packet Length Mean,-1.1949,Bwd Packet Length Max,-0.923,Flow Packets/s,-0.6293,Flow IAT Mean,0.4855
94,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,2.1298,Total Length of Fwd Packets,-0.8639,Flow Bytes/s,-0.601,Fwd IAT Mean,-0.5622,Flow IAT Std,-0.559
95,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowloris,Critical,TA0040 Impact,T1499,91.2,Flow Duration,2.4921,Fwd Packet Length Std,-0.7865,Total Fwd Packets,-0.6848,Flow Packets/s,-0.6701,Flow IAT Std,-0.6311
96,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,2.3476,Flow IAT Max,-0.6265,Flow Bytes/s,-0.6219,Fwd Packet Length Mean,0.3899,Flow IAT Std,-0.2972
97,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,60.0,Fwd Packet Length Std,0.1192,Total Backward Packets,-0.0893,Flow IAT Std,0.0843,Total Length of Fwd Packets,-0.0792,Fwd IAT Mean,0.0758
98,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Infiltration,High,TA0010 Exfiltration,T1041,90.0,Total Length of Bwd Packets,10.7709,Bwd Packet Length Max,2.4398,Flow IAT Max,-1.2211,Fwd IAT Mean,-1.1466,Flow IAT Std,-1.0972
